EstadoCivil,Genero,Hijos,HijosCasa,Educacion,Ocupacion,Casa,Coches,Distancia,Region,Comprador,Edad,Ingresos
S,F,0,No,Partial College,Skilled Manual,0,1,1-2 Miles,North America,1,29-34,27.2727272727273
M,F,0,No,High School,Skilled Manual,1,2,5-10 Miles,North America,0,29-34,27.2727272727273
S,M,0,No,High School,Skilled Manual,1,2,5-10 Miles,North America,1,29-34,27.2727272727273
S,F,0,No,High School,Skilled Manual,0,2,1-2 Miles,North America,0,29-34,27.2727272727273
S,M,0,No,Partial College,Skilled Manual,0,1,5-10 Miles,North America,1,35-40,27.2727272727273
S,F,0,No,Partial College,Skilled Manual,0,1,1-2 Miles,North America,0,35-40,27.2727272727273
S,M,0,No,Partial College,Skilled Manual,1,1,5-10 Miles,North America,1,35-40,27.2727272727273
M,M,0,No,Partial College,Skilled Manual,1,1,5-10 Miles,North America,0,35-40,27.2727272727273
S,M,0,No,Partial College,Skilled Manual,0,1,1-2 Miles,North America,0,35-40,27.2727272727273
M,F,0,No,Partial College,Skilled Manual,0,1,1-2 Miles,North America,0,35-40,45.4545454545455
S,F,0,No,Partial College,Skilled Manual,0,2,0-1 Miles,North America,0,35-40,63.6363636363636
S,F,0,No,Bachelors,Management,0,1,0-1 Miles,North America,1,35-40,72.7272727272727
S,M,0,No,Bachelors,Management,0,1,0-1 Miles,North America,1,41-45,72.7272727272727
M,M,4,Si,Bachelors,Management,1,1,0-1 Miles,North America,0,41-45,81.8181818181818
M,F,4,Si,Bachelors,Management,1,1,0-1 Miles,North America,0,41-45,81.8181818181818
S,M,1,No,Bachelors,Management,1,2,1-2 Miles,North America,1,35-40,81.8181818181818
M,F,1,No,Bachelors,Management,1,2,1-2 Miles,North America,0,41-45,81.8181818181818
S,F,0,No,Graduate Degree,Management,0,4,0-1 Miles,North America,0,41-45,90.9090909090909
M,M,0,Si,Graduate Degree,Management,1,0,2-5 Miles,North America,0,41-45,90.9090909090909
S,M,0,No,Partial College,Skilled Manual,1,2,5-10 Miles,North America,1,46-50,63.6363636363636
M,M,4,Si,Bachelors,Management,1,1,1-2 Miles,North America,0,35-40,81.8181818181818
M,M,2,Si,Graduate Degree,Management,1,2,5-10 Miles,North America,0,65+,90.9090909090909
M,M,2,Si,Graduate Degree,Management,1,3,1-2 Miles,North America,0,56-65,81.8181818181818
M,F,2,Si,Graduate Degree,Management,1,3,5-10 Miles,North America,0,51-55,90.9090909090909
M,F,1,Si,Bachelors,Management,1,4,0-1 Miles,North America,0,65+,90.9090909090909
M,M,2,Si,Graduate Degree,Management,1,2,0-1 Miles,North America,0,51-55,90.9090909090909
S,F,4,No,Bachelors,Management,1,2,10+ Miles,North America,0,56-65,63.6363636363636
S,F,4,No,Bachelors,Management,1,2,10+ Miles,North America,0,56-65,63.6363636363636
S,F,4,No,Bachelors,Management,1,2,10+ Miles,North America,0,56-65,63.6363636363636
S,F,4,No,Bachelors,Management,1,2,10+ Miles,North America,0,56-65,63.6363636363636
S,F,4,No,Bachelors,Management,1,2,10+ Miles,North America,0,56-65,63.6363636363636
M,F,4,No,Graduate Degree,Management,1,2,10+ Miles,North America,0,65+,45.4545454545455
M,F,4,No,Graduate Degree,Management,0,2,1-2 Miles,North America,0,56-65,45.4545454545455
S,M,4,No,Graduate Degree,Management,1,2,10+ Miles,North America,1,56-65,45.4545454545455
M,M,5,No,Bachelors,Management,1,2,10+ Miles,North America,0,56-65,63.6363636363636
S,F,5,No,Bachelors,Management,1,3,10+ Miles,North America,1,56-65,63.6363636363636
M,M,4,No,Bachelors,Management,1,2,2-5 Miles,North America,0,56-65,45.4545454545455
M,M,4,No,Bachelors,Management,1,2,2-5 Miles,North America,0,56-65,45.4545454545455
M,F,4,No,Bachelors,Management,1,2,2-5 Miles,North America,0,56-65,45.4545454545455
M,F,5,No,Bachelors,Management,1,3,10+ Miles,North America,0,56-65,45.4545454545455
M,M,5,No,Bachelors,Management,1,3,10+ Miles,North America,0,56-65,45.4545454545455
M,F,3,Si,Bachelors,Management,0,1,1-2 Miles,North America,0,56-65,63.6363636363636
S,F,4,Si,Bachelors,Management,1,1,10+ Miles,North America,0,56-65,63.6363636363636
M,F,4,Si,Bachelors,Management,1,1,10+ Miles,North America,0,56-65,63.6363636363636
M,M,4,Si,Bachelors,Management,1,1,1-2 Miles,North America,0,56-65,63.6363636363636
M,F,4,Si,Bachelors,Management,1,1,10+ Miles,North America,0,56-65,63.6363636363636
M,F,5,No,Bachelors,Management,0,2,1-2 Miles,North America,0,56-65,72.7272727272727
M,M,2,Si,High School,Professional,1,2,10+ Miles,North America,0,56-65,27.2727272727273
M,F,2,Si,High School,Professional,1,2,2-5 Miles,North America,0,56-65,27.2727272727273
M,F,2,Si,High School,Professional,1,2,10+ Miles,North America,0,56-65,27.2727272727273
M,M,2,Si,Partial College,Professional,1,1,10+ Miles,North America,0,56-65,45.4545454545455
S,F,2,Si,Partial College,Professional,1,1,10+ Miles,North America,0,56-65,45.4545454545455
M,F,2,Si,Bachelors,Management,1,0,10+ Miles,North America,0,56-65,45.4545454545455
M,F,2,Si,Bachelors,Management,1,0,10+ Miles,North America,0,56-65,45.4545454545455
M,M,4,Si,Partial College,Professional,1,2,10+ Miles,North America,0,56-65,63.6363636363636
M,F,2,Si,High School,Professional,1,2,2-5 Miles,North America,0,51-55,27.2727272727273
M,F,2,Si,High School,Professional,1,2,2-5 Miles,North America,0,56-65,27.2727272727273
S,F,2,Si,Partial College,Professional,1,2,10+ Miles,North America,0,56-65,45.4545454545455
S,M,2,Si,Partial College,Professional,1,2,10+ Miles,North America,0,56-65,45.4545454545455
M,F,2,Si,Partial High School,Skilled Manual,1,2,10+ Miles,North America,0,51-55,27.2727272727273
S,F,2,Si,Partial College,Professional,1,2,10+ Miles,North America,1,56-65,45.4545454545455
S,F,2,Si,Partial College,Professional,1,2,10+ Miles,North America,1,56-65,45.4545454545455
S,F,2,Si,Partial College,Professional,0,2,2-5 Miles,North America,0,51-55,45.4545454545455
M,M,2,Si,High School,Professional,1,2,10+ Miles,North America,0,56-65,45.4545454545455
M,F,2,Si,Partial College,Professional,1,1,10+ Miles,North America,0,51-55,45.4545454545455
M,M,4,Si,Partial College,Professional,1,1,1-2 Miles,North America,0,56-65,63.6363636363636
M,F,3,Si,Bachelors,Management,1,1,1-2 Miles,North America,0,56-65,72.7272727272727
S,F,2,Si,High School,Professional,1,2,2-5 Miles,North America,0,56-65,63.6363636363636
S,F,2,Si,High School,Professional,1,2,10+ Miles,North America,1,56-65,63.6363636363636
M,F,2,Si,Partial College,Professional,1,1,10+ Miles,North America,0,51-55,45.4545454545455
M,F,2,Si,Partial College,Professional,1,1,2-5 Miles,North America,0,51-55,45.4545454545455
S,M,2,Si,Partial College,Professional,1,2,10+ Miles,North America,1,51-55,45.4545454545455
M,F,2,Si,Partial College,Professional,1,2,10+ Miles,North America,0,56-65,45.4545454545455
S,M,4,Si,Partial College,Professional,1,1,10+ Miles,North America,0,56-65,63.6363636363636
M,F,4,Si,Partial College,Professional,0,2,2-5 Miles,North America,0,56-65,63.6363636363636
M,M,2,Si,High School,Professional,1,2,10+ Miles,North America,0,51-55,45.4545454545455
M,F,3,Si,High School,Professional,0,2,2-5 Miles,North America,0,56-65,45.4545454545455
M,M,4,Si,Partial College,Professional,1,2,10+ Miles,North America,0,51-55,63.6363636363636
S,F,4,Si,Partial College,Professional,1,2,10+ Miles,North America,0,56-65,63.6363636363636
M,M,4,Si,Partial College,Professional,1,2,10+ Miles,North America,0,56-65,63.6363636363636
S,M,5,Si,Partial College,Professional,1,2,10+ Miles,North America,0,56-65,63.6363636363636
S,M,2,Si,Bachelors,Management,0,4,0-1 Miles,Europe,1,51-55,90.9090909090909
S,F,2,Si,Bachelors,Management,0,4,0-1 Miles,Europe,1,51-55,90.9090909090909
M,F,2,Si,Partial College,Professional,0,2,5-10 Miles,Europe,1,41-45,90.9090909090909
M,F,2,Si,Partial College,Professional,1,4,5-10 Miles,Europe,1,51-55,90.9090909090909
S,F,2,Si,Partial College,Professional,1,4,5-10 Miles,Europe,1,41-45,81.8181818181818
M,M,2,Si,Partial College,Professional,1,3,5-10 Miles,Europe,1,51-55,90.9090909090909
M,F,2,Si,Partial College,Professional,1,3,0-1 Miles,Europe,1,51-55,90.9090909090909
S,F,2,Si,Bachelors,Management,0,3,0-1 Miles,Europe,1,46-50,90.9090909090909
M,M,3,Si,High School,Professional,0,4,5-10 Miles,Europe,1,51-55,90.9090909090909
M,F,3,Si,High School,Professional,0,4,5-10 Miles,Europe,1,51-55,90.9090909090909
S,F,3,Si,Partial College,Professional,0,3,0-1 Miles,Europe,1,51-55,90.9090909090909
M,M,3,Si,Partial College,Professional,1,4,10+ Miles,Europe,0,46-50,90.9090909090909
M,F,3,Si,Partial College,Professional,1,3,0-1 Miles,Europe,1,46-50,90.9090909090909
M,F,3,Si,High School,Professional,1,2,5-10 Miles,Europe,1,46-50,90.9090909090909
S,M,4,No,High School,Professional,0,2,5-10 Miles,North America,1,65+,18.1818181818182
S,M,3,No,Graduate Degree,Management,1,1,2-5 Miles,North America,1,65+,81.8181818181818
M,M,2,No,Graduate Degree,Management,1,2,1-2 Miles,North America,0,65+,45.4545454545455
M,M,4,No,Graduate Degree,Management,1,2,5-10 Miles,North America,0,65+,63.6363636363636
M,M,4,No,Graduate Degree,Management,1,2,5-10 Miles,North America,0,65+,63.6363636363636
M,F,4,No,Graduate Degree,Management,1,2,5-10 Miles,North America,0,65+,63.6363636363636
S,F,1,Si,Graduate Degree,Management,1,4,2-5 Miles,North America,1,65+,90.9090909090909
M,M,1,Si,Graduate Degree,Management,1,4,2-5 Miles,North America,0,65+,90.9090909090909
M,F,4,Si,Partial College,Professional,1,4,2-5 Miles,North America,1,41-45,81.8181818181818
M,F,2,Si,Bachelors,Management,1,3,2-5 Miles,North America,0,35-40,90.9090909090909
M,F,1,Si,Graduate Degree,Management,1,1,0-1 Miles,North America,1,41-45,90.9090909090909
M,F,4,Si,Bachelors,Management,1,0,0-1 Miles,North America,0,35-40,72.7272727272727
M,F,5,Si,Partial College,Professional,1,3,2-5 Miles,North America,1,41-45,81.8181818181818
S,M,5,Si,Partial College,Professional,0,3,0-1 Miles,North America,1,41-45,81.8181818181818
M,F,5,Si,Partial College,Professional,1,3,0-1 Miles,North America,1,41-45,81.8181818181818
S,F,0,No,Partial College,Professional,0,1,5-10 Miles,North America,1,41-45,81.8181818181818
S,M,4,Si,Partial College,Professional,1,4,2-5 Miles,North America,1,35-40,90.9090909090909
M,F,2,Si,Graduate Degree,Management,1,2,1-2 Miles,North America,0,41-45,90.9090909090909
M,M,2,Si,Graduate Degree,Management,1,2,0-1 Miles,North America,0,35-40,90.9090909090909
M,M,2,Si,Graduate Degree,Management,1,3,0-1 Miles,North America,1,35-40,90.9090909090909
S,F,2,No,Bachelors,Management,0,4,1-2 Miles,North America,1,41-45,90.9090909090909
S,F,4,Si,Partial College,Professional,1,0,5-10 Miles,North America,1,51-55,63.6363636363636
M,M,2,Si,Partial College,Professional,1,0,10+ Miles,North America,0,51-55,81.8181818181818
M,M,2,No,Graduate Degree,Management,1,2,5-10 Miles,North America,1,65+,45.4545454545455
M,F,4,No,Graduate Degree,Management,1,2,0-1 Miles,North America,1,65+,72.7272727272727
M,F,4,Si,Partial College,Professional,1,2,2-5 Miles,North America,0,41-45,72.7272727272727
M,M,4,Si,Partial College,Professional,1,2,0-1 Miles,North America,0,46-50,72.7272727272727
S,M,0,No,Partial College,Professional,0,1,10+ Miles,North America,1,46-50,81.8181818181818
M,F,0,No,Partial College,Professional,1,1,10+ Miles,North America,0,41-45,81.8181818181818
M,M,0,No,Partial College,Professional,1,1,10+ Miles,North America,0,46-50,81.8181818181818
S,F,4,Si,Bachelors,Management,1,4,5-10 Miles,North America,1,35-40,90.9090909090909
M,M,5,Si,Partial College,Professional,1,4,1-2 Miles,North America,1,46-50,81.8181818181818
M,M,1,Si,Bachelors,Management,1,2,1-2 Miles,North America,0,46-50,90.9090909090909
M,F,1,Si,Bachelors,Management,1,2,1-2 Miles,North America,0,46-50,90.9090909090909
M,M,1,Si,Partial College,Professional,0,4,2-5 Miles,North America,0,41-45,90.9090909090909
M,M,0,No,Graduate Degree,Management,1,4,2-5 Miles,North America,1,46-50,90.9090909090909
